name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,gsm,year_marvel,gsm_dc,year_dc,,,,,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Stephen Strange (Earth-616),17,Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,1307,Jul-63,1963,1955,11.4,9.3,1944,Neutral Characters_f,1,Neutral Characters_m,6,,,1963,,1938,,,,,,Carter Hall (New Earth),17,Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,803,"1940, January",1940,1952,14.2,0.0,1940,Good Characters,7,,Good Characters,32
Mary Jane Watson (Earth-616),18,No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,1304,Jun-65,1965,1956,11.4,6.3,1944,Bad Characters_f,5,Bad Characters_m,103,,,1965,,1938,,,,,,Kyle Rayner (New Earth),18,Secret Identity,Good Characters,Green Eyes,Black Hair,Male Characters,,Living Characters,716,"1994, January",1994,1953,14.0,0.0,1940,Neutral Characters,1,,Neutral Characters,3
John Jonah Jameson (Earth-616),19,No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1266,Mar-63,1963,1957,11.4,0.0,1945,Good Characters_f,,Good Characters_m,4,,,1963,,1938,,,,,,Raymond Palmer (New Earth),19,Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,706,"1961, October",1961,1954,13.9,0.0,1941,Bad Characters,0,,Bad Characters,9
Robert Drake (Earth-616),20,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1265,Sep-63,1963,1958,11.4,50.0,1945,Neutral Characters_f,5,Neutral Characters_m,8,,,1963,,1938,,,,,,Alexander Luthor (New Earth),20,Public Identity,Bad Characters,Green Eyes,,Male Characters,,Living Characters,677,"1986, October",1986,1955,13.7,16.7,1941,Good Characters,3,,Good Characters,30
Henry Pym (Earth-616),21,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1237,Jan-62,1962,1959,11.4,0.0,1945,Bad Characters_f,6,Bad Characters_m,73,,,1962,,1938,,,,,,Roy Harper (New Earth),21,Secret Identity,Neutral Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,654,"1941, November",1941,1956,13.8,15.4,1941,Neutral Characters,3,,Neutral Characters,8
Charles Xavier (Earth-616),22,Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,1233,Sep-63,1963,1960,11.2,5.0,1946,Good Characters_f,1,Good Characters_m,6,,,1963,,1938,,,,,,Kara Zor-L (Earth-Two),22,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,635,"1976, February",1976,1957,13.8,15.4,1942,Bad Characters,1,,Bad Characters,8
Warren Worthington III (Earth-616),23,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1230,Sep-63,1963,1961,11.0,6.0,1946,Neutral Characters_f,2,Neutral Characters_m,6,,,1963,,1938,,,,,,Ted Grant (New Earth),23,Secret Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,605,"1942, January",1942,1958,13.9,13.3,1942,Good Characters,3,,Good Characters,30
Piotr Rasputin (Earth-616),24,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1162,May-75,1975,1962,11.1,12.4,1946,Bad Characters_f,8,Bad Characters_m,66,,,1975,,1938,,,,,,Garfield Logan (New Earth),24,Public Identity,Good Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,595,"1965, November",1965,1959,13.9,20.6,1942,Neutral Characters,0,,Neutral Characters,2
Wanda Maximoff (Earth-616),25,Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,1161,Mar-64,1964,1963,11.3,13.7,1947,Good Characters_f,1,Good Characters_m,3,,,1964,,1939,,,,,,Guy Gardner (New Earth),25,Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,593,"1968, March",1968,1960,14.4,10.3,1943,Bad Characters,0,,Bad Characters,10
Nicholas Fury (Earth-616),26,No Dual Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,1137,May-63,1963,1964,11.4,13.2,1947,Neutral Characters_f,5,Neutral Characters_m,13,,,1963,,1939,,,,,,Victor Stone (New Earth),26,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,584,"1980, October",1980,1961,14.0,14.0,1943,Good Characters,0,,Good Characters,3
Janet van Dyne (Earth-616),27,Public Identity,Good Characters,Blue Eyes,Auburn Hair,Female Characters,,Living Characters,1120,Jun-63,1963,1965,11.4,11.7,1947,Bad Characters_f,7,Bad Characters_m,42,,,1963,,1939,,,,,,Kon-El (New Earth),27,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,560,"1993, June",1993,1962,14.0,11.9,1943,Neutral Characters,0,,Neutral Characters,0
Jean Grey (Earth-616),28,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,1107,Sep-63,1963,1966,11.6,13.6,1948,Good Characters_f,7,Good Characters_m,29,,,1963,,1939,,,,,,Ralph Dibny (New Earth),28,Public Identity,,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,558,"1960, May",1960,1963,13.9,15.0,1944,Bad Characters,2,,Bad Characters,4
Natalia Romanova (Earth-616),29,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,1050,Apr-64,1964,1967,11.4,8.1,1948,Neutral Characters_f,2,Neutral Characters_m,18,,LGBT_Marvel,1964,,1939,,,,,,James Olsen (New Earth),29,Public Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,557,"1986, October",1986,1964,14.0,19.4,1944,Good Characters,1,,Good Characters,6
Kurt Wagner (Earth-616),30,Secret Identity,Good Characters,Yellow Eyes,Blue Hair,Male Characters,,Living Characters,1047,May-75,1975,1968,11.5,12.7,1948,Bad Characters_f,3,Bad Characters_m,51,,,1975,,1939,,,,,,John Stewart (New Earth),30,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,549,"1971, December",1971,1965,14.2,16.0,1944,Neutral Characters,0,,Neutral Characters,1
Vision (Earth-616),31,Secret Identity,Good Characters,Gold Eyes,No Hair,Male Characters,,Living Characters,1007,Oct-68,1968,1969,11.5,12.7,1949,Good Characters_f,3,Good Characters_m,12,,,1968,,1939,,,,,,Joker (New Earth),31,Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,,Living Characters,517,"1940, June",1940,1966,14.3,18.0,1945,Bad Characters,0,,Bad Characters,3
May Reilly (Earth-616),32,No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Female Characters,,Living Characters,1000,Aug-62,1962,1970,11.6,12.9,1949,Neutral Characters_f,,Neutral Characters_m,7,,,1962,,1939,,,,,,Franklin Rock (New Earth),32,Public Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,492,"1959, April",1959,1967,14.7,16.1,1945,Good Characters,0,,Good Characters,2
Katherine Pryde (Earth-616),33,Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,,Living Characters,886,Jan-80,1980,1971,11.7,14.2,1949,Bad Characters_f,3,Bad Characters_m,32,,,1980,,1939,,,,,,Garth (New Earth),33,Public Identity,Good Characters,Purple Eyes,Black Hair,Male Characters,,Deceased Characters,487,"1960, February",1960,1968,14.8,31.1,1945,Neutral Characters,0,,Neutral Characters,1
Carol Danvers (Earth-616),34,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,881,Mar-68,1968,1972,12.0,18.7,1950,Good Characters_f,,Good Characters_m,12,,,1968,,1939,,,,,,Rex Mason (New Earth),34,Secret Identity,,Black Eyes,,Male Characters,,Living Characters,470,"1965, January",1965,1969,15.9,43.5,1946,Bad Characters,1,,Bad Characters,4
Jennifer Walters (Earth-616),35,Public Identity,Good Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,881,Feb-80,1980,1973,12.6,20.4,1950,Neutral Characters_f,1,Neutral Characters_m,3,,,1980,,1939,,,,,,Zatanna Zatara (New Earth),35,Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,439,"1964, November",1964,1970,16.6,10.7,1946,Good Characters,0,,Good Characters,3
Emma Frost (Earth-616),36,Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,880,Jan-80,1980,1974,13.1,20.8,1950,Bad Characters_f,2,Bad Characters_m,11,,,1980,,1939,,,,,,Aztar (New Earth),36,Secret Identity,,White Eyes,,Male Characters,,Living Characters,436,"1940, February",1940,1971,16.4,10.8,1946,Neutral Characters,0,,Neutral Characters,0
Frank Castle (Earth-616),37,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,878,Feb-74,1974,1975,13.7,23.0,1951,Good Characters_f,4,Good Characters_m,17,,,1974,,1939,,,,,,Theodore Kord (New Earth),37,Secret Identity,,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,429,"1986, February",1986,1972,16.1,29.5,1947,Bad Characters,1,,Bad Characters,9
Luke Cage (Earth-616),38,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,856,Jun-72,1972,1976,14.0,18.5,1951,Neutral Characters_f,,Neutral Characters_m,2,,,1972,,1939,,,,,,Michael Jon Carter (New Earth),38,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,427,"1986, February",1986,1973,16.9,20.0,1947,Good Characters,3,,Good Characters,5
Rogue (Anna Marie) (Earth-616),39,Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,850,,,1977,14.3,18.5,1951,Bad Characters_f,5,Bad Characters_m,22,,,,,1939,,,,,,Cassandra Sandsmark (New Earth),39,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,423,"1996, January",1996,1974,16.9,0.0,1947,Neutral Characters,0,,Neutral Characters,0
Conan (Earth-616),40,No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,787,Oct-70,1970,1978,14.4,16.1,1952,Good Characters_f,1,Good Characters_m,7,,,1970,,1939,,,,,,Kent Nelson (New Earth),40,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,422,"1940, May",1940,1975,16.7,7.7,1948,Bad Characters,1,,Bad Characters,6
Joseph Robertson (Earth-616),41,No Dual Identity,Good Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,752,Aug-67,1967,1979,14.9,25.8,1952,Neutral Characters_f,1,Neutral Characters_m,7,,,1967,,1939,,,,,,Harvey Bullock (New Earth),41,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,413,"1974, July",1974,1976,16.3,26.7,1948,Good Characters,2,,Good Characters,5
Pietro Maximoff (Earth-616),42,Public Identity,Good Characters,Blue Eyes,Silver Hair,Male Characters,,Living Characters,740,Mar-64,1964,1980,15.3,23.3,1952,Bad Characters_f,3,Bad Characters_m,6,,,1964,,1939,,,,,,Rachel Roth (New Earth),42,Secret Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,,Living Characters,399,"1980, October",1980,1977,16.7,21.2,1948,Neutral Characters,0,,Neutral Characters,1
Hercules (Earth-616),43,No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Bisexual Characters,Living Characters,725,Oct-65,1965,1981,15.7,25.6,1953,Good Characters_f,2,Good Characters_m,10,,LGBT_Marvel,1965,,1940,,,,,,Helena Bertinelli (New Earth),43,Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,393,"1989, April",1989,1978,16.9,33.3,1949,Bad Characters,0,,Bad Characters,2
Victor von Doom (Earth-616),44,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,721,Jul-62,1962,1982,16.0,24.1,1953,Neutral Characters_f,,Neutral Characters_m,7,,,1962,,1940,,,,,,Wesley Dodds (New Earth),44,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,391,"1939, April",1939,1979,17.7,13.8,1949,Good Characters,0,,Good Characters,3
Max Eisenhardt (Earth-616),45,Public Identity,Neutral Characters,Grey Eyes,Bald,Male Characters,,Living Characters,709,Sep-63,1963,1983,16.5,33.7,1953,Bad Characters_f,7,Bad Characters_m,8,,,1963,,1940,,,,,,Uxas (New Earth),45,Public Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,388,"1970, December",1970,1980,17.6,27.8,1949,Neutral Characters,0,,Neutral Characters,0
Elizabeth Braddock (Earth-616),46,Secret Identity,Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Bisexual Characters,Living Characters,708,Dec-76,1976,1984,16.9,27.2,1954,Good Characters_f,8,Good Characters_m,29,,LGBT_Marvel,1976,,1940,,,,,,Nathaniel Adam (New Earth),46,Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,386,"1987, March",1987,1981,17.9,26.1,1950,Bad Characters,0,,Bad Characters,0
Norrin Radd (Earth-616),47,Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,696,Mar-66,1966,1985,17.3,27.2,1954,Neutral Characters_f,2,Neutral Characters_m,4,,,1966,,1940,,,,,,Ronald Raymond (New Earth),47,Secret Identity,Good Characters,Blue Eyes,,Male Characters,,Living Characters,386,"1978, March",1978,1982,18.6,27.9,1950,Good Characters,0,,Good Characters,7
Norman Osborn (Earth-616),48,Public Identity,Bad Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,692,Jul-64,1964,1986,17.6,26.7,1954,Bad Characters_f,9,Bad Characters_m,22,,,1964,,1940,,,,,,Red Tornado (New Earth),48,Secret Identity,Good Characters,Green Eyes,,Male Characters,,Living Characters,374,"1968, August",1968,1983,19.2,32.9,1950,Neutral Characters,0,,Neutral Characters,1
Eugene Thompson (Earth-616),49,Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,689,Aug-62,1962,1987,17.8,24.7,1955,Good Characters_f,3,Good Characters_m,22,,,1962,,1940,,,,,,John Constantine (New Earth),49,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Bisexual Characters,Living Characters,371,"1984, June",1984,1984,20.5,28.4,1951,Bad Characters,0,,Bad Characters,2
Simon Williams (Earth-616),50,Public Identity,Good Characters,Red Eyes,Grey Hair,Male Characters,,Living Characters,686,Oct-64,1964,1988,18.1,26.6,1955,Neutral Characters_f,,Neutral Characters_m,,,,1964,,1940,,,,,,Albert Pratt (New Earth),50,Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,370,"1940, October",1940,1985,21.1,33.9,1951,Good Characters,1,,Good Characters,9
Samuel Guthrie (Earth-616),51,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,657,Nov-82,1982,1989,18.3,22.1,1955,Bad Characters_f,1,Bad Characters_m,16,,,1982,,1940,,,,,,Charles McNider (New Earth),51,Secret Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,361,"1941, April",1941,1986,21.8,28.0,1951,Neutral Characters,0,,Neutral Characters,0
James Buchanan Barnes (Earth-616),52,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,641,Mar-41,1941,1990,18.6,25.8,1956,Good Characters_f,,Good Characters_m,6,,,1941,,1940,,,,,,Theodore Knight (New Earth),52,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,356,"1941, April",1941,1987,22.2,34.3,1952,Bad Characters,0,,Bad Characters,1
Remy LeBeau (Earth-616),53,Secret Identity,Good Characters,Black Eyeballs,Brown Hair,Male Characters,,Living Characters,636,Jul-90,1990,1991,18.9,25.6,1956,Neutral Characters_f,,Neutral Characters_m,4,,,1990,,1940,,,,,,Lobo (New Earth),53,Public Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,353,"1983, June",1983,1988,23.5,30.8,1952,Good Characters,0,,Good Characters,2
Daniel Rand (Earth-616),54,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,618,May-74,1974,1992,19.3,25.9,1956,Bad Characters_f,1,Bad Characters_m,3,,,1974,,1940,,,,,,Perry White (New Earth),54,Public Identity,,Blue Eyes,Brown Hair,Male Characters,,Living Characters,350,"1986, October",1986,1989,24.3,38.7,1952,Neutral Characters,0,,Neutral Characters,0
Nathan Summers (Earth-616),55,Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,612,Jan-86,1986,1993,19.5,22.6,1957,Good Characters_f,,Good Characters_m,3,,,1986,,1940,,,,,,John Henry Irons (New Earth),55,Public Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,345,"1993, June",1993,1990,25.6,30.3,1953,Bad Characters,0,,Bad Characters,0
Elizabeth Brant (Earth-616),56,No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,599,Sep-63,1963,1994,19.7,24.1,1957,Neutral Characters_f,,Neutral Characters_m,3,,,1963,,1940,,,,,,Jefferson Pierce (New Earth),56,Secret Identity,Good Characters,Brown Eyes,,Male Characters,,Living Characters,344,"1977, April",1977,1991,25.9,33.8,1953,Good Characters,0,,Good Characters,1
Richard Jones (Earth-616),57,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,590,May-62,1962,1995,19.9,26.2,1957,Bad Characters_f,,Bad Characters_m,1,,,1962,,1940,,,,,,Slade Wilson (New Earth),57,Secret Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,336,"1980, December",1980,1992,26.2,23.0,1953,Neutral Characters,0,,Neutral Characters,0
Edwin Jarvis (Earth-616),58,No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,567,Nov-64,1964,1996,20.3,33.0,1958,Good Characters_f,1,Good Characters_m,,,,1964,,1940,,,,,,Phantom Stranger (New Earth),58,Secret Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,335,"1952, September",1952,1993,26.1,26.8,1954,Bad Characters,0,,Bad Characters,2
Alexander Summers (Earth-616),59,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,558,Mar-69,1969,1997,20.5,27.2,1958,Neutral Characters_f,,Neutral Characters_m,,,,1969,,1940,,,,,,Beatriz da Costa (New Earth),59,Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,325,"1982, June",1982,1994,26.1,30.4,1954,Good Characters,0,,Good Characters,4
Patricia Walker (Earth-616),60,Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,550,Nov-44,1944,1998,20.7,27.7,1958,Bad Characters_f,,Bad Characters_m,1,,,1944,,1940,,,,,,William Batson (New Earth),60,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,321,"1940, February",1940,1995,26.4,23.3,1954,Neutral Characters,0,,Neutral Characters,0
Human Torch (Android) (Earth-616),61,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548,Oct-39,1939,1999,20.9,31.2,1959,Good Characters_f,,Good Characters_m,1,,,1939,,1940,,,,,,Carol Ferris (New Earth),61,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,319,"1959, October",1959,1996,26.2,33.0,1955,Bad Characters,0,,Bad Characters,1
Loki Laufeyson (Earth-616),62,No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532,Aug-49,1949,2000,21.0,27.0,1959,Neutral Characters_f,,Neutral Characters_m,1,,LGBT_Marvel,1949,,1940,,,,,,Clifford Steele (New Earth),62,Public Identity,,Photocellular Eyes,,Male Characters,,Living Characters,314,"1963, June",1963,1997,26.5,27.0,1955,Good Characters,2,,Good Characters,8
